,index,serviceCentre,dummy,overall rating,dummy1,geo_location,Unnamed: 5,Unnamed: 6,user,Unnamed: 8,date,rating,review,Unnamed: 12,response,review_original,Key Topics,Sentiment,Product Quality,Staff,Service Time,Music System,Recall,Brake,Oil Change/Refill,Wheel/Tires,Service Cost,Service Diagnostics,Facilities,Windshield,Door,Battery,Engine,Product Availability,Not Classified,Customer Service,Service Quality
0,0,Ford of Queens Service Center,Car Service Station,1.0,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Janghoon Jeon,https://www.google.com/maps/contrib/104941435943352540658/reviews?hl=en,4 months ago,1 star,"The service department encountered challenges in diagnosing the charging system fault.

The technician suggested that the battery failure led to the P0620 code, but additional investigation revealed damage to the voltage regulator in the alternator.

The service fee of over $150 for a brief job, encompassing code reading and battery voltage testing, which I CAN DO AT HOME, seems disproportionately high.

It's infuriating that they not only failed to fix the problem but also couldn't diagnose it properly. Instead, they had the audacity to charge a fee for what they claim is a ""diagnosing"" service.

It's recommended to enhance thoroughness in future assessments. It's quite challenging to accept that they were too occupied to notice a damaged alternator connector fitting, especially at the crucial point where the voltage regulator is connected.",3.0,"Thank you for taking the time to review our service center. We apologize for any confusion or miscommunication during your recent visit. We would like the chance to speak with you to work towards a resolution. At your earliest convenience, please reach out to me directly. I look forward to speaking with you. -Yvonne Brown, Customer Relations Manager, (718)657-8888","The service department encountered challenges in diagnosing the charging system fault.

The technician suggested that the battery failure led to the P0620 code, but additional investigation revealed damage to the voltage regulator in the alternator.

The service fee of over $150 for a brief job, encompassing code reading and battery voltage testing, which I CAN DO AT HOME, seems disproportionately high.

It's infuriating that they not only failed to fix the problem but also couldn't diagnose it properly. Instead, they had the audacity to charge a fee for what they claim is a ""diagnosing"" service.

It's recommended to enhance thoroughness in future assessments. It's quite challenging to accept that they were too occupied to notice a damaged alternator connector fitting, especially at the crucial point where the voltage regulator is connected.","Product Quality, Service Cost, Facilities",Negative,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Andy Nisthalal,https://www.google.com/maps/contrib/108872723857345644161/reviews?hl=en,a month ago,1 star,"Lies and condescending attitudes from the service rep and their manager. Take your business elsewhere. I called to make an appointment to service my F150 Raptor, and gave a detailed explanation  to the rep that my sunroof is leaking, need an oil change, and inspection and door lock fixed. When I arrived Juan the service rep say they have no record of anything except oil change and inspection and they don’t fix leaks. It a ford product who does then? I asked that and then he say I’m saying this a second time don’t make me have to say it a third time We Don’t Fix Leaks! Then he takes me to the manager who says they take a look at it and let me know. The manager call me the next day and says both drains are blocked to clean it out is $1100. I told I can’t afford that. He was lying. I went on YouTube and I learned to test it with a little water, drains are perfectly fine. It’s the rubber seal. But they managed to charge me $478.95 in Labor but not fix anything except an oil change and inspection. I feel like I’ve been robbed.",,"Andy, thank you for taking the time to review our service center. We apologize for any confusion or miscommunication during your recent visit. We would like the chance to speak with you to work towards a resolution. At your earliest convenience, please reach out to me directly. I look forward to speaking with you. -Yvonne Brown, Customer Relations Manager, (718)657-8888","Lies and condescending attitudes from the service rep and their manager. Take your business elsewhere. I called to make an appointment to service my F150 Raptor, and gave a detailed explanation  to the rep that my sunroof is leaking, need an oil change, and inspection and door lock fixed. When I arrived Juan the service rep say they have no record of anything except oil change and inspection and they don’t fix leaks. It a ford product who does then? I asked that and then he say I’m saying this a second time don’t make me have to say it a third time We Don’t Fix Leaks! Then he takes me to the manager who says they take a look at it and let me know. The manager call me the next day and says both drains are blocked to clean it out is $1100. I told I can’t afford that. He was lying. I went on YouTube and I learned to test it with a little water, drains are perfectly fine. It’s the rubber seal. But they managed to charge me $478.95 in Labor but not fix anything except an oil change and inspection. I feel like I’ve been robbed.","Product Quality, Service Time, Staff, Facilities",Negative,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Najai Najai,https://www.google.com/maps/contrib/101753396741565809003/reviews?hl=en,a month ago,1 star,"I walked in, there was about 4 employees at their desk. Each one looked away as I entered the door,  after a minute or so, I said  ""No one is working today?"" Then Debby assisted me. As she was walking out to my Agency car, I said "" Wow, staff here is rude."" Then I went to get coffee.  Ms Debby stormed to back, asking me what I said. I told her what I said, then asked why she was so aggressive.  Sis acted like she wanted to fight. Ms Debby at Ford is nasty. She doesn't need to work in Customer Service.  I'm going to take my Agency's Fleet of Fords elsewhere until they send Debbie to the back, under the cars, where her and her nasty attitude belongs.  I'm giving them a 1 star because the Manager Anthony was pleasant.  Just because your in the hood, doesn't mean Ms Debby can act hood in this place of business.",,"Najai, we are sorry to see your negative review. Please know our goal is to provide great customer service and we take reviews like this very seriously. I would like the chance to speak with you to restore your faith in our dealership. At your earliest convenience, please reach out to me directly. -Yvonne Brown, Customer Relations Manager, (718) 657-8888","I walked in, there was about 4 employees at their desk. Each one looked away as I entered the door,  after a minute or so, I said  ""No one is working today?"" Then Debby assisted me. As she was walking out to my Agency car, I said "" Wow, staff here is rude."" Then I went to get coffee.  Ms Debby stormed to back, asking me what I said. I told her what I said, then asked why she was so aggressive.  Sis acted like she wanted to fight. Ms Debby at Ford is nasty. She doesn't need to work in Customer Service.  I'm going to take my Agency's Fleet of Fords elsewhere until they send Debbie to the back, under the cars, where her and her nasty attitude belongs.  I'm giving them a 1 star because the Manager Anthony was pleasant.  Just because your in the hood, doesn't mean Ms Debby can act hood in this place of business.","Product Quality, Staff, Service Cost, Facilities",Negative,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3,3,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Ranjeet Singh,https://www.google.com/maps/contrib/103574711015773052456/reviews?hl=en,a month ago,1 star,I had a very bad experience in that location. They don’t listen to you and they have bad attitude.Just saying come after one or two weeks every time. They take my car to fix. After two days they called me and said take my car and come back again after two weeks. I don’t recommend them.,,"Ranjeet, we apologize if you have received anything but our 5-star customer service. We would like to speak with you and hear more specifically about your experience with us. At your earliest convenience, please reach out to me directly. -Yvonne Brown, Customer Relations Manager, (718) 657-8888",I had a very bad experience in that location. They don’t listen to you and they have bad attitude.Just saying come after one or two weeks every time. They take my car to fix. After two days they called me and said take my car and come back again after two weeks. I don’t recommend them.,"Product Quality, Staff, Service Time",Negative,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Paul Knight,https://www.google.com/maps/contrib/108337362299556909375/reviews?hl=en,a month ago,1 star,"Took my truck in to get the front brakes replaced. A week later, my brake fluid reservoir busted and my brakes failed. In my discussions with other mechanics there was a high probability this could have been caused by the brake replacement. Ford Lincoln took no responsibility and made me pay the full cost to repair everything.
This is terrible customer service and NOT TRUSTWORTHY.",,"Paul, we are sorry to see your negative review. Please know our goal is to provide great customer service and we take reviews like this very seriously. I would like the chance to speak with you to restore your faith in our service center. At your earliest convenience, please reach out to me directly. -Yvonne Brown, Customer Relations Manager, (718) 657-8888","Took my truck in to get the front brakes replaced. A week later, my brake fluid reservoir busted and my brakes failed. In my discussions with other mechanics there was a high probability this could have been caused by the brake replacement. Ford Lincoln took no responsibility and made me pay the full cost to repair everything.
This is terrible customer service and NOT TRUSTWORTHY.","Product Quality, Brake, Service Cost",Negative,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,5,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Terence OConnor,https://www.google.com/maps/contrib/113253430084325479062/reviews?hl=en,2 months ago,2 stars,I guess any Ford Dealerships in Queens and/or Nassau County are bad. Biener Ford is horrible! Located at Northern Blvd in Great Neck. Bad reviews all over with the prewritten standard reply.,,,I guess any Ford Dealerships in Queens and/or Nassau County are bad. Biener Ford is horrible! Located at Northern Blvd in Great Neck. Bad reviews all over with the prewritten standard reply.,"Product Quality, Staff",Negative,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Aleem Abdool,https://www.google.com/maps/contrib/107033214323198222245/reviews?hl=en,5 years ago,1 star,Took my 2014 mustang gt for a recall two weeks ago. 20 mins in to service rep notified me that they bent my  driver's side door. I was furious because of the negligence. They offered to fix the issue and offered a rental while the car was being repaired. There was lack of communication I called several times for updates no one returned my calls. During the whole process No manager ever spoke to me or apologized for their negligence. I had to show up in person to get an update. Repair took 8 days. Body shop did a good job. Definitely not taking my car back there.,8.0,Thank you for taking the time to leave us your review.We regret to see you were disappointed with your recent experience with us and we would like to learn more about your particular visit. Please reach out to call Yvonne at 718-657-8888 x673 so we can address any remaining concerns you might still have and regain your confidence back in our dealership. Our goal is to learn from your feedback and continue to improve for all of our valued clients so we hope to speak with you soon.,Took my 2014 mustang gt for a recall two weeks ago. 20 mins in to service rep notified me that they bent my  driver's side door. I was furious because of the negligence. They offered to fix the issue and offered a rental while the car was being repaired. There was lack of communication I called several times for updates no one returned my calls. During the whole process No manager ever spoke to me or apologized for their negligence. I had to show up in person to get an update. Repair took 8 days. Body shop did a good job. Definitely not taking my car back there.,"Product Quality, Staff, Service Time, Facilities",Negative,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Noam Landor,https://www.google.com/maps/contrib/117427038890130388414/reviews?hl=en,3 weeks ago,5 stars,"Unfortunately had to get towed here, luckily it was here. The service was super quick and easy. I was in and out with two new tires in 2.5 hours. Juan toro helped me out and made it super smooth and efficient. The pricing was competitive as well.",,"Noam, thank you for the positive comments! It is extremely rewarding to receive feedback like this. We greatly appreciate your business and look forward to helping you in the future!","Unfortunately had to get towed here, luckily it was here. The service was super quick and easy. I was in and out with two new tires in 2.5 hours. Juan toro helped me out and made it super smooth and efficient. The pricing was competitive as well.","Product Quality, Service Time, Staff, Facilities",Positive,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,8,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,LIN JINFENG,https://www.google.com/maps/contrib/104535942801840819206/reviews?hl=en,8 months ago,5 stars,"Big Thanks to Varsha that helped me out with problems on my vehicle. I been waiting for parts around 2 months, Finally that delivered today, Varsha told me right the way, and got it done same day before they closed. I really appreciated that. 👍 another thanks to Juan, he is a nice and helpful guy. …",,"Lin, thank you for the positive comments! It is extremely rewarding to receive feedback like this. We greatly appreciate your business and look forward to helping you in the future!","Big Thanks to Varsha that helped me out with problems on my vehicle. I been waiting for parts around 2 months, Finally that delivered today, Varsha told me right the way, and got it done same day before they closed. I really appreciated that. 👍 another thanks to Juan, he is a nice and helpful guy. …","Product Quality, Staff, Service Time",Positive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,Ford of Queens Service Center,Car Service Station,3.5,624,"92-15 170th St, Woodside, NY 11433, United States","
+1 718-865-8591",https://www.fordofqueensboulevard.com/,Arik inator,https://www.google.com/maps/contrib/114237186033758044641/reviews?hl=en,7 months ago,1 star,I left my car for a week and then in the end they couldn’t “find” any parts and then broke my door so now window doesn’t go up and down and when I told them the window worked before I left it they said they can try to fix it for me but it would cost another 173 for diagnosis and then the repair cost,2.0,"Arik, we are very sorry to see your negative review. Please know that customer safety and satisfaction are our top priorities and we take reviews like this very seriously. I would like the chance to speak with you towards a resolution. At your earliest convenience, please reach out to me directly. -Yvonne Brown, Customer Relations Manager, (718)657-8888",I left my car for a week and then in the end they couldn’t “find” any parts and then broke my door so now window doesn’t go up and down and when I told them the window worked before I left it they said they can try to fix it for me but it would cost another 173 for diagnosis and then the repair cost,"Product Quality, Service Cost, Staff, Door, Facilities",Negative,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
